category,provinces,share
Currently enrolled,Azad Kashmir,0.861454221
Currently enrolled,Balochistan,0.602296744
Currently enrolled,Gilgit-Baltistan,0.80305471
Currently enrolled,Islamabad ,0.848375451
Currently enrolled,Punjab,0.809273749
Currently enrolled,Sind,0.756139005
Currently enrolled,Khyber Pakhtunkhwa,0.672292129
Currently enrolled,National Average,0.716876813
Drop-out,Azad Kashmir,0.020883739
Drop-out,Balochistan,0.088160092
Drop-out,Gilgit-Baltistan,0.020225524
Drop-out,Islamabad ,0.036101083
Drop-out,Punjab,0.042622836
Drop-out,Sind,0.026172988
Drop-out,Khyber Pakhtunkhwa,0.039513535
Drop-out,National Average,0.048625687
Never enrolled,Azad Kashmir,0.11766204
Never enrolled,Balochistan,0.309543164
Never enrolled,Gilgit-Baltistan,0.176719766
Never enrolled,Islamabad ,0.115523466
Never enrolled,Punjab,0.148103415
Never enrolled,Sind,0.217688007
Never enrolled,Khyber Pakhtunkhwa,0.288194336
Never enrolled,National Average,0.2344975
